"Dataset","Window","WindowStart","WindowEnd","Model","Raw_Time","Sym_Time","Raw_NLL","Sym_NLL","SpeedUp","Param1_Name","Param1_Raw","Param1_Sym","Param2_Name","Param2_Raw","Param2_Sym","Param_AbsDiff","Raw_Conv","Sym_Conv"
"MIMIC-III",1,1,10000,"normal",0.0029999999969732,0,31724.5872009376,10566.6616056617,NA,"mu",162.144499999958,162.369390436149,"sigma",5.77481727852544,5.56447971478978,0.217613999963373,TRUE,TRUE
"MIMIC-III",1,1,10000,"gamma",0.0229999999864958,0.00200000000768341,31782.4294449487,10596.5392619879,11.4999999490683,"shape",788.260694196886,844.439212226703,"rate",4.86150178786112,5.20085828023479,28.258937261095,TRUE,TRUE
"MIMIC-III",2,501,10500,"normal",0.00800000000162981,0.00099999998928979,30572.5876659192,9621.3556226621,8.00000008731149,"mu",162.70630533896,162.924099424693,"sigma",5.1465615714316,4.96281404242619,0.200770807369453,TRUE,TRUE
"MIMIC-III",2,501,10500,"gamma",0.0659999999916181,0.00200000000768341,30602.3008103775,9633.38013593169,32.9999998690328,"shape",991.923437418371,1070.60747896838,"rate",6.09639894241102,6.57139795263097,39.579520280113,TRUE,TRUE
"MIMIC-III",3,1001,11000,"normal",0.0089999999909196,0.00099999998928979,30067.9486898272,9181.0780462708,9.00000008731149,"mu",163.12970229156,163.312631875358,"sigma",4.89324756922869,4.70361161793572,0.186282767545829,TRUE,TRUE
"MIMIC-III",3,1001,11000,"gamma",0.0640000000130385,0.00099999998928979,30094.846838864,9193.42552315352,64.000000698492,"shape",1103.55727485776,1195.09744012098,"rate",6.76490543086442,7.31809993751754,46.0466798849403,TRUE,TRUE
"MIMIC-III",4,1501,11500,"normal",0.00900000002002344,0.00099999998928979,29738.2448423638,9020.464481875,9.00000011641532,"mu",163.441099739381,163.572989280838,"sigma",4.73454838050142,4.60278668715305,0.131825617402592,TRUE,TRUE
"MIMIC-III",4,1501,11500,"gamma",0.0650000000023283,0.00200000000768341,29760.3127591376,9032.83094819039,32.4999998763087,"shape",1184.37899662362,1250.8696778864,"rate",7.24651657639315,7.64740836076216,33.4457865235718,TRUE,TRUE
"MIMIC-III",5,2001,12000,"normal",0.0099999999802094,0.00100000001839362,29344.6719295523,8699.40465207672,9.99999979627319,"mu",163.908496340846,164.031584278385,"sigma",4.55183255975031,4.40584662960688,0.13453693384137,TRUE,TRUE
"MIMIC-III",5,2001,12000,"gamma",0.0679999999993015,0.00200000000768341,29365.0461949718,8711.77175368321,33.9999998690328,"shape",1289.07333792826,1370.03117779978,"rate",7.86458945622875,8.35247548046408,40.7228629478785,TRUE,TRUE
"MIMIC-III",6,2501,12500,"normal",0.00800000000162981,0.00099999998928979,29453.3294164064,8703.08084005437,8.00000008731149,"mu",163.871599753178,164.044692133804,"sigma",4.60155585426191,4.40495093991982,0.184848647483858,TRUE,TRUE
"MIMIC-III",6,2501,12500,"gamma",0.0750000000116415,0.00099999998928979,29469.3973549279,8714.43847085278,75.0000008149073,"shape",1261.97392267217,1371.28812174146,"rate",7.70098241371829,8.35945990164557,54.9863382786078,TRUE,TRUE
"MIMIC-III",7,3001,13000,"normal",0.00800000000162981,0.00099999998928979,29779.6490936307,8908.88743443355,8.00000008731149,"mu",164.016599993125,164.259419147338,"sigma",4.75419083954061,4.51763327200351,0.239688360875085,TRUE,TRUE
"MIMIC-III",7,3001,13000,"gamma",0.0700000000069849,0.00200000000768341,29792.8271930251,8920.7507587209,34.9999998690328,"shape",1185.02101544855,1308.3355971353,"rate",7.22500215676439,7.96522815210879,62.0274038410508,TRUE,TRUE
"MIMIC-III",8,3501,13500,"normal",0.00800000000162981,0.00100000001839362,29998.2472775345,9074.37957333341,7.99999985448085,"mu",163.922591144561,164.224203961331,"sigma",4.85926327333769,4.61973127253633,0.270572408785731,TRUE,TRUE
"MIMIC-III",8,3501,13500,"gamma",0.102000000013504,0.00200000000768341,30012.948497352,9087.86292127199,50.9999998108251,"shape",1132.95784229342,1251.09952759352,"rate",6.91152332038538,7.61840079714886,59.4242813884321,TRUE,TRUE
"MIMIC-III",9,4001,14000,"normal",0.00800000000162981,0.00100000001839362,30032.0438556178,9086.2692146873,7.99999985448085,"mu",163.987899503562,164.251868853807,"sigma",4.87571173691399,4.59329801432618,0.273191536416428,TRUE,TRUE
"MIMIC-III",9,4001,14000,"gamma",0.0679999999993015,0.00099999998928979,30071.1420909137,9111.38577881003,68.0000007275958,"shape",1120.55824111798,1262.09218821064,"rate",6.83318380919231,7.68404395200604,71.192403617739,TRUE,TRUE
"MIMIC-III",10,4501,14500,"normal",0.0089999999909196,0.00100000001839362,30197.5787076854,9266.46838460593,8.99999982537702,"mu",164.106002341602,164.349351016664,"sigma",4.9571030233621,4.69634628891019,0.252052704756801,TRUE,TRUE
"MIMIC-III",10,4501,14500,"gamma",0.163999999989755,0.00200000000768341,30238.3464557913,9294.47832316784,81.9999996798579,"shape",1085.45135823401,1209.21597471377,"rate",6.61434650193407,7.35773179972108,62.2540008887736,TRUE,TRUE
"MIMIC-III",11,5001,15000,"normal",0.0089999999909196,0.00100000001839362,30592.0952882557,9513.20565164895,8.99999982537702,"mu",163.813398127873,164.136506492025,"sigma",5.15656638606784,4.88609018455981,0.296792282830218,TRUE,TRUE
"MIMIC-III",11,5001,15000,"gamma",0.11699999999837,0.0029999999969732,30627.8432727763,9544.03533013876,39.0000000388051,"shape",1000.45785670073,1132.34391808805,"rate",6.10729581355923,6.89855817444995,66.3386618741056,TRUE,TRUE
"MIMIC-III",12,5501,15500,"normal",0.0089999999909196,0.00100000001839362,30727.8315840093,9499.2110341898,8.99999982537702,"mu",163.535801623307,163.865760976987,"sigma",5.22703842811957,4.88308369389674,0.336957043951261,TRUE,TRUE
"MIMIC-III",12,5501,15500,"gamma",0.0799999999871943,0.00200000000768341,30751.6768441637,9526.35884056404,39.9999998399289,"shape",972.610876918247,1130.50888243422,"rate",5.94738500010083,6.8987843216019,79.4247024187391,TRUE,TRUE
"MIMIC-III",13,6001,16000,"normal",0.00900000002002344,0.00099999998928979,30882.4464431782,9608.41129268484,9.00000011641532,"mu",163.540099993501,163.879970554948,"sigma",5.30848381905558,4.94743539341014,0.350459493546168,TRUE,TRUE
