"Model","n","B","RMSE (Raw)","RMSE (Sym-EW)","RMSE (Sym-QU)","Rel. RMSE (EW)","Rel. RMSE (QU)"
"gamma",10000,10,0.0172142559369058,0.0238317369741458,0.0207355673667642,3.2397957596087,1.91622832049989
"gamma",10000,20,0.0172287678159762,0.0196333900237898,0.0189018639925158,1.87125861934651,1.49674188155517
"gamma",10000,50,0.0173927344995585,0.0181728100930592,0.01798223951731,1.26989401024374,1.20433782255556
"gamma",10000,100,0.0174529471997175,0.0177566800150934,0.0177779152769764,1.10994757123974,1.1479165256269
"gamma",10000,200,0.0175691426882271,0.0177204766653449,0.0176939357050158,1.07680576514472,1.07963683771101
"gamma",10000,500,0.0175184633926452,0.0175466728062321,0.0175867973690167,1.01257298077093,1.04861890689773
"gamma",1e+05,10,0.00566299305075264,0.00893826482476523,0.00666233177180967,2.57176158560353,1.52888848032804
"gamma",1e+05,20,0.00565847182654885,0.0066765898841838,0.00612551205658797,1.64982516114018,1.3312590300187
"gamma",1e+05,50,0.00563937860778192,0.00591783350402888,0.00586052255881495,1.28055455247419,1.19819749692661
"gamma",1e+05,100,0.00568176213298194,0.00576537661268917,0.00576401865708184,1.08906040847885,1.08259908217868
"gamma",1e+05,200,0.00575843227449588,0.00579193110876284,0.0057957957346314,1.0457810138119,1.05775446621291
"gamma",1e+05,500,0.00578761060665952,0.00579540683830594,0.00579281566452337,1.01376841008726,1.0374514998354
"gamma",1e+06,10,0.00180782165947738,0.0031210083084393,0.00202340141832545,3.1919119550294,1.6500584394835
"gamma",1e+06,20,0.00180625604498062,0.00221360965645815,0.00191246230203686,1.87633689853543,1.44268238601484
"gamma",1e+06,50,0.001804298226303,0.00189707509663978,0.0018791476851597,1.27412836966634,1.31055937535893
"gamma",1e+06,100,0.00178670978010007,0.00185405762273757,0.0018594900406103,1.25354706693164,1.26558598390232
"gamma",1e+06,200,0.00180988853958084,0.00186177965301484,0.00188788325997777,1.20894408886749,1.2020658687576
"gamma",1e+06,500,0.00176393817758686,0.00181696292276972,0.00184652285933176,1.12453622231794,1.18232491892888
"weibull",10000,10,0.00834169113058464,0.00931922472714275,0.00927757786801551,1.31301110636374,1.35459961359049
"weibull",10000,20,0.00837635600549563,0.00862737381482496,0.00882895990161901,1.11347168938021,1.18732420788328
"weibull",10000,50,0.00832155966380101,0.0084139618384356,0.00850779431731629,1.03786658075002,1.07373551611789
"weibull",10000,100,0.0083679557024682,0.00840083547525539,0.00846322738272007,1.01584689867033,1.04742683984675
"weibull",10000,200,0.00840340655453695,0.00841567977344758,0.00849023268410361,1.00338694531635,1.03250814650823
"weibull",10000,500,0.00838027837229031,0.00838088421217888,0.00841054195848783,1.0011886660317,1.01535102192728
"weibull",1e+05,10,0.00277402400859958,0.00323419330897657,0.00308871154771409,1.47989065182317,1.32887974429021
"weibull",1e+05,20,0.00277528584880114,0.0028926919863537,0.00289143409822795,1.1777211745344,1.16262726622203
"weibull",1e+05,50,0.00275983577722333,0.00279857553359365,0.00279897338297836,1.04693015071346,1.09616367572948
"weibull",1e+05,100,0.00275806729179612,0.00275787152950857,0.00277844186136834,1.00999823582383,1.0584924779722
"weibull",1e+05,200,0.00272867478270367,0.00276138030749075,0.00271947537614693,1.01399589311342,1.01739237281318
"weibull",1e+05,500,0.00271765090706657,0.00272078789294289,0.00270287755030433,1.00335866281216,1.00167624112122
"weibull",1e+06,10,0.000854669528300706,0.00101404001110403,0.000958762726807781,1.43746291107965,1.35140592496167
"weibull",1e+06,20,0.000855280653168695,0.000896215146826759,0.000909276533837541,1.15127865757076,1.18272678384665
"weibull",1e+06,50,0.000853646519320669,0.000860199328850107,0.000875254628179281,1.03707603469462,1.0879041471462
"weibull",1e+06,100,0.000848352438141634,0.000855376573831392,0.000862605137240366,1.02275535952415,1.0520364567397
"weibull",1e+06,200,0.000851225625975023,0.000853373502541936,0.000858854448871613,1.00499947532676,1.02847705539675
"weibull",1e+06,500,0.000827072704544922,0.000826674547123233,0.000831092226101089,1.00131879842216,1.01852548708833
